"id","fdc_id","fdc_id_of_input_food","seq_num","amount","sr_code","sr_description","unit","portion_code","portion_description","gram_weight","retention_code","survey_flag"
"10428","321358","319874","","","","","","","","","",""
"10429","321358","319879","","","","","","","","","",""
"10430","321358","319885","","","","","","","","","",""
"10431","321358","319894","","","","","","","","","",""
"10432","321358","319901","","","","","","","","","",""
"10433","321358","319921","","","","","","","","","",""
"10434","321358","319939","","","","","","","","","",""
"10435","321358","319958","","","","","","","","","",""
"10436","321358","319978","","","","","","","","","",""
"10437","321358","319984","","","","","","","","","",""
"10438","321358","320005","","","","","","","","","",""
"10439","321359","320025","","","","","","","","","",""
"10440","321359","320031","","","","","","","","","",""
"10441","321359","320037","","","","","","","","","",""
"10442","321359","320043","","","","","","","","","",""
"10443","321359","320062","","","","","","","","","",""
"10444","321359","320085","","","","","","","","","",""
"10445","321359","320104","","","","","","","","","",""
"10446","321359","320124","","","","","","","","","",""
"10447","321359","320143","","","","","","","","","",""
"10448","321359","320165","","","","","","","","","",""
"10449","321359","320172","","","","","","","","","",""
"10450","321359","320179","","","","","","","","","",""
"10451","321359","320185","","","","","","","","","",""
"10452","321359","320191","","","","","","","","","",""
"10453","321359","320197","","","","","","","","","",""
"10454","321359","320203","","","","","","","","","",""
"10455","321359","320210","","","","","","","","","",""
"10456","321359","320230","","","","","","","","","",""
"10457","321359","320253","","","","","","","","","",""
"10458","321359","320275","","","","","","","","","",""
"10459","321359","320298","","","","","","","","","",""
"10460","321359","320307","","","","","","","","","",""
"10461","321359","320313","","","","","","","","","",""
"10462","321359","320332","","","","","","","","","",""
"10463","321360","320413","","","","","","","","","",""
"10464","321360","320418","","","","","","","","","",""
"10465","321360","320423","","","","","","","","","",""
"10466","321360","320428","","","","","","","","","",""
"10467","321360","320433","","","","","","","","","",""
"10468","321360","320438","","","","","","","","","",""
"10469","321360","320443","","","","","","","","","",""
"10470","321360","320451","","","","","","","","","",""
"10471","321360","320460","","","","","","","","","",""
"10472","321360","320476","","","","","","","","","",""
"10473","321360","320480","","","","","","","","","",""
"10474","321360","320485","","","","","","","","","",""
"10475","321360","320489","","","","","","","","","",""
"10476","321360","320494","","","","","","","","","",""
"10477","321360","320504","","","","","","","","","",""
"10478","321360","320499","","","","","","","","","",""
"10479","321360","320507","","","","","","","","","",""
"10480","321360","320512","","","","","","","","","",""
"10481","321505","321361","","","","","","","","","",""
"10482","321505","321367","","","","","","","","","",""
"10483","321505","321373","","","","","","","","","",""
"10484","321505","321379","","","","","","","","","",""
"10485","321505","321384","","","","","","","","","",""
"10486","321505","321389","","","","","","","","","",""
"10487","321505","321394","","","","","","","","","",""
"10488","321505","321400","","","","","","","","","",""
"10489","321505","321406","","","","","","","","","",""
"10490","321505","321412","","","","","","","","","",""
"10491","321505","321417","","","","","","","","","",""
"10492","321505","321423","","","","","","","","","",""
"10493","321505","321429","","","","","","","","","",""
"10494","321505","321435","","","","","","","","","",""
"10495","321505","321441","","","","","","","","","",""
"10496","321505","321446","","","","","","","","","",""
"10497","321505","321452","","","","","","","","","",""
"10498","321505","321458","","","","","","","","","",""
"10499","321505","321464","","","","","","","","","",""
"10500","321505","321475","","","","","","","","","",""
"10501","321505","321481","","","","","","","","","",""
"10502","321505","321487","","","","","","","","","",""
"10503","321505","321493","","","","","","","","","",""
"10504","321505","321499","","","","","","","","","",""
"10505","321611","321506","","","","","","","","","",""
"10506","321611","321512","","","","","","","","","",""
"10507","321611","321521","","","","","","","","","",""
"10508","321611","321528","","","","","","","","","",""
"10509","321611","321538","","","","","","","","","",""
"10510","321611","321547","","","","","","","","","",""
"10511","321611","321557","","","","","","","","","",""
"10512","321611","321566","","","","","","","","","",""
"10513","321611","321573","","","","","","","","","",""
"10514","321611","321582","","","","","","","","","",""
"10515","321611","321591","","","","","","","","","",""
"10516","321611","321601","","","","","","","","","",""
"10517","321900","321612","","","","","","","","","",""
"10518","321900","321621","","","","","","","","","",""
"10519","321900","321631","","","","","","","","","",""
"10520","321900","321641","","","","","","","","","",""
"10521","321900","321651","","","","","","","","","",""
"10522","321900","321674","","","","","","","","","",""
"10523","321900","321693","","","","","","","","","",""
"10524","321900","321718","","","","","","","","","",""
"10525","321900","321763","","","","","","","","","",""
"10526","321900","321810","","","","","","","","","",""
"10527","321900","321845","","","","","","","","","",""
"10528","321900","321880","","","","","","","","","",""
"10529","322228","321901","","","","","","","","","",""
"10530","322228","321907","","","","","","","","","",""
"10531","322228","321913","","","","","","","","","",""
"10532","322228","321920","","","","","","","","","",""
"10533","322228","321940","","","","","","","","","",""
"10534","322228","321959","","","","","","","","","",""
"10535","322228","321978","","","","","","","","","",""
"10536","322228","322001","","","","","","","","","",""
"10537","322228","322020","","","","","","","","","",""
"10538","322228","322043","","","","","","","","","",""
"10539","322228","322049","","","","","","","","","",""
"10540","322228","322055","","","","","","","","","",""
"10541","322228","322061","","","","","","","","","",""
"10542","322228","322067","","","","","","","","","",""
"10543","322228","322073","","","","","","","","","",""
"10544","322228","322079","","","","","","","","","",""
"10545","322228","322085","","","","","","","","","",""
"10546","322228","322105","","","","","","","","","",""
"10547","322228","322128","","","","","","","","","",""
"10548","322228","322150","","","","","","","","","",""
"10549","322228","322173","","","","","","","","","",""
"10550","322228","322182","","","","","","","","","",""
"10551","322228","322188","","","","","","","","","",""
"10552","322228","322207","","","","","","","","","",""
"10553","322559","322229","","","","","","","","","",""
"10554","322559","322236","","","","","","","","","",""
"10555","322559","322243","","","","","","","","","",""
"10556","322559","322249","","","","","","","","","",""
"10557","322559","322268","","","","","","","","","",""
"10558","322559","322287","","","","","","","","","",""
"10559","322559","322306","","","","","","","","","",""
"10560","322559","322329","","","","","","","","","",""
"10561","322559","322349","","","","","","","","","",""
"10562","322559","322373","","","","","","","","","",""
"10563","322559","322379","","","","","","","","","",""
"10564","322559","322386","","","","","","","","","",""
"10565","322559","322392","","","","","","","","","",""
"10566","322559","322398","","","","","","","","","",""
"10567","322559","322404","","","","","","","","","",""
"10568","322559","322410","","","","","","","","","",""
"10569","322559","322416","","","","","","","","","",""
"10570","322559","322439","","","","","","","","","",""
"10571","322559","322448","","","","","","","","","",""
"10572","322559","322471","","","","","","","","","",""
"10573","322559","322492","","","","","","","","","",""
"10574","322559","322514","","","","","","","","","",""
"10575","322559","322520","","","","","","","","","",""
"10576","322559","322539","","","","","","","","","",""
"10577","322892","322560","","","","","","","","","",""
"10578","322892","322566","","","","","","","","","",""
"10579","322892","322588","","","","","","","","","",""
"10580","322892","322612","","","","","","","","","",""
"10581","322892","322628","","","","","","","","","",""
"10582","322892","322647","","","","","","","","","",""
"10583","322892","322666","","","","","","","","","",""
"10584","322892","322689","","","","","","","","","",""
"10585","322892","322696","","","","","","","","","",""
"10586","322892","322702","","","","","","","","","",""
"10587","322892","322708","","","","","","","","","",""
"10588","322892","322715","","","","","","","","","",""
"10589","322892","322721","","","","","","","","","",""
"10590","322892","322727","","","","","","","","","",""
"10591","322892","322734","","","","","","","","","",""
"10592","322892","322740","","","","","","","","","",""
"10593","322892","322763","","","","","","","","","",""
"10594","322892","322769","","","","","","","","","",""
"10595","322892","322793","","","","","","","","","",""
"10596","322892","322814","","","","","","","","","",""
"10597","322892","322836","","","","","","","","","",""
"10598","322892","322842","","","","","","","","","",""
"10599","322892","322851","","","","","","","","","",""
"10600","322892","322871","","","","","","","","","",""
"10601","323121","322893","","","","","","","","","",""
"10602","323121","322899","","","","","","","","","",""
"10603","323121","322910","","","","","","","","","",""
"10604","323121","322920","","","","","","","","","",""
"10605","323121","322937","","","","","","","","","",""
"10606","323121","322955","","","","","","","","","",""
"10607","323121","322965","","","","","","","","","",""
"10608","323121","322972","","","","","","","","","",""
"10609","323121","322992","","","","","","","","","",""
"10610","323121","323010","","","","","","","","","",""
"10611","323121","323027","","","","","","","","","",""
"10612","323121","323044","","","","","","","","","",""
"10613","323121","323054","","","","","","","","","",""
"10614","323121","323069","","","","","","","","","",""
"10615","323121","323085","","","","","","","","","",""
"10616","323121","323095","","","","","","","","","",""
"10617","323121","323105","","","","","","","","","",""
"10618","323294","323122","","","","","","","","","",""
"10619","323294","323129","","","","","","","","","",""
"10620","323294","323137","","","","","","","","","",""
"10621","323294","323146","","","","","","","","","",""
"10622","323294","323161","","","","","","","","","",""
"10623","323294","323178","","","","","","","","","",""
"10624","323294","323189","","","","","","","","","",""
"10625","323294","323205","","","","","","","","","",""
"10626","323294","323212","","","","","","","","","",""
"10627","323294","323230","","","","","","","","","",""
"10628","323294","323250","","","","","","","","","",""
"10629","323294","323265","","","","","","","","","",""
"10630","323294","323280","","","","","","","","","",""
"10631","323444","323295","","","","","","","","","",""
"10632","323444","323304","","","","","","","","","",""
"10633","323444","323311","","","","","","","","","",""
"10634","323444","323326","","","","","","","","","",""
"10635","323444","323342","","","","","","","","","",""
"10636","323444","323361","","","","","","","","","",""
"10637","323444","323370","","","","","","","","","",""
"10638","323444","323378","","","","","","","","","",""
